All sky irradiance,Clear sky irradiance,ALLSKY  ICI,Temperature,Dew point,Wet bulb,Surface pressure,ALLSKY SFC PAR TOT,ALLSKY SFC UV INDEX,CLRSKY SFC PAR TOT,QV2M
5.48,5.48,0.69,27.26,13.8,20.53,95.67,101.34,1.34,101.97,10.38
5.14,5.14,0.65,26.69,14.57,20.63,95.57,93.95,1.21,94.67,10.93
5.12,5.11,0.65,27.01,15.62,21.32,95.57,94.08,1.24,94.7,11.66
4.84,4.91,0.62,26.43,14.26,20.35,95.56,88.47,1.16,90.4,10.68
4.9,4.93,0.63,26.77,14.94,20.86,95.45,90.05,1.21,91.34,11.17
5.13,5.12,0.66,26.9,12.62,19.76,95.16,92.88,1.26,93.59,9.7
4.96,5.02,0.65,25.78,12.68,19.23,95.16,90.34,1.17,92.17,9.7
4.97,4.99,0.66,26.52,13.85,20.19,95.61,92.55,1.18,93.66,10.38
4.66,4.65,0.62,25.59,13.58,19.58,95.96,85.78,1.01,86.43,10.13
4.86,4.81,0.66,25.96,13.21,19.58,95.86,89.19,1.09,89.29,9.95
4.9,4.87,0.66,25.94,13.11,19.52,95.63,90.54,1.2,90.99,9.89
4.89,4.85,0.66,26.99,13.1,20.05,95.69,90.13,1.17,90.41,9.89
5.14,5.09,0.71,26.8,12.85,19.83,95.65,94.91,1.24,94.99,9.77
4.77,4.76,0.66,25.95,13.65,19.8,95.73,88.59,1.1,89.42,10.25
4.2,4.24,0.59,25.92,15.56,20.74,95.87,77.56,0.99,79.13,11.6
4.18,4.38,0.59,26.24,17.54,21.89,95.86,77.82,1.02,82.28,13.12
3.98,4.04,0.56,25.8,18.01,21.9,95.76,73.45,0.88,75.45,13.55
3.95,4.03,0.56,24.58,15.24,19.91,95.33,70.33,0.84,72.49,11.47
4.5,4.49,0.65,21.28,11.73,16.5,95.13,80.31,0.98,80.91,9.34
5.12,5.08,0.74,20.01,10.38,15.19,95.74,90.69,1.11,90.95,8.54
5.18,5.13,0.76,22.23,4.3,13.27,95.83,90.65,1.09,90.74,5.55
5.13,5.08,0.76,21.59,2.36,11.98,95.93,90.14,1.12,90.34,4.82
4.67,4.63,0.7,20.79,2.74,11.76,96.15,82.23,-999,82.45,4.88
4.7,4.65,0.71,20.52,4.11,12.32,96.29,83.71,1.04,83.93,5.37
4.33,4.56,0.66,21.65,5.48,13.56,96.22,78.01,0.98,82.75,5.92
4.21,4.3,0.65,21.91,7.95,14.94,96.17,75.41,0.85,77.74,7.02
3.68,3.75,0.57,21.84,8.01,14.93,96.5,65.14,0.66,67.3,6.96
4.37,4.34,0.68,21.98,6.99,14.48,96.52,78.24,0.83,78.58,6.53
